feature_1,feature_2,feature_3,target
5.07,2.54,1,0
0.58,0.85,2,0
6.28,2.66,1,1
1.33,3.24,2,0
1.31,1.3,0,0
7.89,1.96,2,0
5.07,3.56,1,1
4.13,2.02,2,1
5.78,0.79,2,0
4.88,4.43,1,1
3.36,1.8,1,0
1.41,4.0,1,1
8.91,1.75,2,1
0.86,2.97,1,0
8.48,0.6,1,1
5.3,4.55,0,1
5.5,4.44,1,1
8.48,4.05,0,1
1.59,4.12,0,0
2.98,0.86,2,0
8.18,1.38,0,0
9.78,0.52,0,1
9.33,4.52,1,1
3.1,2.25,1,0
4.81,3.7,0,1
3.83,0.0,1,0
8.74,3.56,1,1
3.64,2.96,2,1
3.85,0.61,1,0
0.35,0.33,1,0
6.35,2.19,1,1
0.09,1.89,1,0
1.97,0.4,0,0
8.81,1.78,1,1
0.02,0.9,2,0
1.1,2.73,1,0
6.23,1.5,1,0
9.99,4.04,2,1
5.67,3.21,0,0
4.88,3.17,2,1
1.05,1.7,0,0
5.25,2.83,1,0
2.84,4.9,0,1
6.58,2.18,1,1
9.9,4.36,1,1
6.44,4.56,0,1
3.03,0.29,0,0
1.41,3.05,1,0
4.88,2.61,0,1
1.67,2.17,2,0
2.77,3.84,2,1
0.98,3.77,0,1
9.3,4.11,1,1
4.87,1.71,2,0
7.21,4.84,1,1
1.92,4.48,1,0
2.1,4.27,1,1
2.45,1.49,1,0
1.75,0.78,0,0
3.67,3.86,2,1
9.82,2.27,1,1
2.86,4.43,0,0
9.8,2.66,1,1
9.24,3.4,1,1
6.31,0.35,1,0
1.19,2.23,2,0
8.56,3.54,0,1
7.83,3.65,2,1
8.16,1.81,0,1
5.76,3.67,0,0
0.38,3.82,0,0
5.33,2.83,2,1
3.47,3.9,1,0
3.29,1.58,0,0
6.07,4.69,0,1
8.26,0.34,0,0
2.73,4.61,2,1
5.03,1.05,2,0
8.29,1.98,0,0
4.3,2.2,0,0
4.92,0.36,0,0
7.53,1.69,0,0
7.81,3.03,2,1
5.24,3.97,1,1
6.35,2.43,0,0
2.84,0.5,0,0
8.21,3.66,2,1
8.74,0.91,1,1
4.54,1.4,0,0
6.23,5.0,0,1
2.68,1.21,2,0
7.26,2.81,2,1
3.79,4.88,0,1
3.46,2.8,1,1
6.95,1.14,2,0
5.86,4.4,1,1
8.44,2.41,0,1
6.62,2.93,2,1
5.91,3.4,0,0
6.12,3.49,0,1
2.59,3.48,0,0
4.14,4.13,0,1
7.97,3.25,1,1
4.32,2.66,1,0
0.34,3.9,1,0
5.81,2.57,0,1
2.82,4.4,2,1
8.57,4.17,0,1
3.52,3.28,1,1
8.02,4.5,1,1
8.63,3.95,2,1
0.0,2.6,2,0
7.94,1.89,0,0
2.97,0.13,0,0
4.41,4.47,0,1
2.95,4.68,1,1
8.41,2.97,0,1
8.05,0.36,0,0
3.11,1.62,1,0
1.71,3.91,2,0
2.05,2.94,1,0
7.62,0.43,0,0
8.54,0.23,0,0
6.85,0.87,1,0
0.97,1.87,2,0
0.16,2.59,2,0
9.1,3.95,2,1
8.06,0.09,0,0
5.5,4.64,0,1
9.43,1.54,1,1
2.85,3.75,2,1
1.48,3.02,2,1
8.12,1.97,2,1
0.36,1.23,2,0
3.84,3.57,0,0
4.69,4.8,2,1
9.61,1.74,1,1
0.16,4.92,1,0
4.78,4.88,0,1
0.33,2.46,2,0
4.98,3.25,0,0
5.69,3.32,1,1
0.75,0.26,2,0
8.47,3.2,2,1
9.35,2.57,2,1
0.28,4.48,1,1
8.62,0.44,0,0
8.35,3.14,0,1
5.23,4.8,2,1
0.4,4.87,0,0
1.96,0.61,2,0
2.05,4.63,2,1
8.46,1.48,1,0
9.59,4.77,1,1
4.85,3.88,0,1
0.44,2.35,1,0
2.35,1.99,1,0
0.93,2.97,0,0
8.66,1.0,2,0
4.4,0.69,0,0
0.48,1.03,1,0
6.8,0.72,0,0
3.61,2.01,0,0
6.44,1.15,2,1
5.17,4.85,0,1
4.47,0.95,2,0
4.78,1.22,1,0
0.66,0.06,1,0
0.65,0.61,2,0
0.82,2.52,0,0
1.93,3.01,1,0
6.89,2.31,2,1
0.81,3.84,2,1
9.07,3.12,2,1
0.04,0.55,2,0
2.73,0.51,0,0
8.79,2.87,2,1
4.18,4.71,1,1
3.04,0.86,0,0
2.04,0.5,1,0
6.13,2.37,1,1
9.34,3.57,0,1
6.26,2.35,1,1
6.12,4.95,2,1
7.54,4.32,0,1
6.7,2.62,0,1
3.24,0.52,1,0
8.54,3.2,2,1
3.6,2.43,0,0
9.94,4.86,0,1
3.18,4.32,1,1
0.09,0.46,1,0
9.32,3.59,0,1
3.91,0.91,1,0
9.39,4.27,0,1
6.13,0.56,0,0
4.94,4.78,0,1
9.01,4.6,1,1
4.01,0.87,1,0
9.0,1.24,1,0
